model,Time/Error,Result,Clauses,Variables,Literals,Memory (kB),Depth,InvariantSize
0_anderson.3.prop1-func-interl.aig.out.txt,0.67,SAT,1674.0,455.0,4819.0,25000.0,6,-inf
100_ILA_Ridecore_ANDI_sanity.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,658116.0,200127.0,1907232.0,1538892.0,5,inf
101_ILA_Ridecore_AND_sanity.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,662138.0,201117.0,1919286.0,1405480.0,4,inf
102_ILA_Ridecore_LBU_problem.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,637558.0,194001.0,1856497.0,1144704.0,5,inf
103_ILA_Ridecore_SLT_sanity.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,659455.0,200173.0,1912355.0,1442904.0,5,inf
104_ILA_Ridecore_SRAI_sanity.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,659104.0,200363.0,1910334.0,1678172.0,5,inf
105_ILA_Ridecore_SRLI_problem.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,640618.0,194978.0,1864384.0,1444780.0,5,inf
106_ILA_Ridecore_SW_problem.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,625105.0,191753.0,1815551.0,1515396.0,5,inf
107_ILA_Ridecore_XOR_sanity.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,662234.0,201149.0,1919542.0,1457504.0,4,inf
108_counter_bit_width_large.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,2793.0,1003.0,8111.0,2399012.0,115,inf
109_diffeq.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,1388.0,490.0,3903.0,633108.0,56,inf
10_cal27.aig.out.txt,0.2,UN_SAT,6221.0,2174.0,17695.0,25156.0,4,140.0
110_gcd.aig.out.txt,30.1,UN_SAT,1201.0,403.0,3443.0,94396.0,32,3662.0
111_kalman_bit_width_small.aig.out.txt,17.64,UN_SAT,1946.0,637.0,5404.0,39972.0,5,4243.0
112_a03.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,765.0,41355.0,2040.0,5142488.0,297,inf
113_a05.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,765.0,41355.0,2040.0,5218848.0,296,inf
114_a07-p14.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,1529800.0,359236.0,4689270.0,672092.0,1,inf
115_a10-p04.aig.out.txt,0.04,SAT,768.0,41356.0,2047.0,34012.0,1,-inf
116_a10-p06.aig.out.txt,0.06,SAT,768.0,41356.0,2047.0,37200.0,3,-inf
117_a10-p23.aig.out.txt,0.05,UN_SAT,765.0,41355.0,2040.0,36944.0,2,1.0
118_a10-p30.aig.out.txt,0.06,SAT,763.0,41355.0,2033.0,37120.0,3,-inf
119_a10-p34.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,765.0,41355.0,2040.0,5964436.0,459,inf
11_cal41.aig.out.txt,0.03,UN_SAT,2065.0,711.0,5891.0,21224.0,3,32.0
120_a10-p35.aig.out.txt,0.04,UN_SAT,765.0,41355.0,2040.0,36980.0,2,1.0
121_a10-p41.aig.out.txt,0.05,UN_SAT,778.0,41366.0,2045.0,40400.0,4,9.0
122_a10-p53.aig.out.txt,0.04,UN_SAT,767.0,41357.0,2041.0,38632.0,3,2.0
123_a11.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,765.0,41355.0,2040.0,4056172.0,277,inf
124_a13.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,765.0,41355.0,2040.0,4420424.0,312,inf
125_a16-p012.aig.out.txt,1581.9,UN_SAT,7554.0,3608.0,21507.0,529240.0,40,32995.0
126_a16-p018.aig.out.txt,1600.61,UN_SAT,7498.0,3608.0,21253.0,750212.0,75,27354.0
127_a16-p041.aig.out.txt,0.08,UN_SAT,7088.0,3487.0,20165.0,32184.0,7,18.0
128_a16-p057.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,11946.0,4732.0,34360.0,532640.0,12,inf
129_a16-p074.aig.out.txt,0.11,UN_SAT,7079.0,3485.0,20136.0,37080.0,9,17.0
12_cal75.aig.out.txt,0.03,UN_SAT,3280.0,1284.0,9472.0,23476.0,4,24.0
130_a16-p085.aig.out.txt,0.03,UN_SAT,7081.0,3485.0,20142.0,27952.0,5,3.0
131_a16-p098.aig.out.txt,0.38,UN_SAT,7084.0,3486.0,20149.0,35436.0,8,90.0
132_a16-p102.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,7079.0,3485.0,20136.0,319052.0,13,inf
133_a16-p113.aig.out.txt,0.03,UN_SAT,7078.0,3485.0,20136.0,22984.0,2,1.0
134_a16-p126.aig.out.txt,0.09,UN_SAT,7079.0,3485.0,20136.0,29792.0,5,42.0
135_a16-p128.aig.out.txt,171.91,UN_SAT,7245.0,3532.0,20594.0,123056.0,18,7376.0
136_a16-p139.aig.out.txt,0.21,UN_SAT,7099.0,3489.0,20195.0,35132.0,8,81.0
137_a16-p146.aig.out.txt,0.11,SAT,7095.0,3488.0,20184.0,21048.0,2,-inf
138_a16-p148.aig.out.txt,131.84,UN_SAT,7245.0,3532.0,20594.0,111900.0,17,6927.0
139_a16-p152.aig.out.txt,0.04,UN_SAT,7079.0,3485.0,20136.0,25284.0,3,2.0
13_cal97.aig.out.txt,37.98,UN_SAT,31881.0,9480.0,90752.0,73272.0,8,1009.0
140_a16-p160.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,7081.0,3486.0,20133.0,359716.0,11,inf
141_a19-p15.aig.out.txt,0.03,UN_SAT,2.0,3938.0,2.0,20684.0,2,0.0
142_a19-p16.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,42303.0,15455.0,121917.0,570932.0,16,inf
143_xepic_a17-p02.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,42318.0,15448.0,122027.0,381244.0,8,inf
144_byte_add_1-1.aig.out.txt,346.36,UN_SAT,7265.0,2418.0,22052.0,392780.0,98,8925.0
145_Problem05_label42+token_ring.08.cil-2.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,130860.0,44955.0,385211.0,2421432.0,3,inf
146_Problem05_label46+token_ring.12.cil-1.aig.out.txt,1918.67,SAT,184607.0,65677.0,547302.0,1173628.0,6,-inf
147_gcd_2+newton_3_7.aig.out.txt,7.35,SAT,699615.0,191955.0,1956250.0,235912.0,2,-inf
148_gcd_4+newton_3_3.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,747669.0,202184.0,2104911.0,412736.0,1,inf
149_pals_lcr.5.1.ufo.UNBOUNDED.pals+Problem12_label04.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3053568.0,862104.0,8221342.0,1211584.0,2,inf
14_gen102.aig.out.txt,3.92,UN_SAT,12600.0,5625.0,36258.0,34224.0,2,1848.0
150_pals_lcr.5.ufo.BOUNDED-10.pals+Problem12_label02.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3054630.0,862339.0,8225199.0,1212496.0,2,inf
151_pals_lcr.5_overflow.ufo.UNBOUNDED.pals+Problem12_label02.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3053838.0,862148.0,8222233.0,1212412.0,2,inf
152_pals_lcr.6.1.ufo.UNBOUNDED.pals+Problem12_label09.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,3056738.0,862979.0,8231435.0,1212236.0,2,inf
153_pc_sfifo_1.cil-2+token_ring.05.cil-2.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,72209.0,26380.0,218905.0,2457756.0,5,inf
154_pc_sfifo_2.cil-1+token_ring.11.cil-2.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,148849.0,55471.0,451008.0,2033708.0,6,inf
155_pc_sfifo_2.cil-1+token_ring.13.cil-1.aig.out.txt,TIMEOUT BY /usr/bin/timeout,,177798.0,66791.0,538305.0,2819292.0,5,inf
